No.,Time,CO2(ppm),Temperature(°C),Relative Humidity(%RH)
1, 04/27/22 18:44:47,479,23.6,25.3
2, 04/27/22 18:49:47,462,23.4,17.8
3, 04/27/22 18:54:47,450,23.2,17.6
4, 04/27/22 18:59:47,445,23.1,17.5
5, 04/27/22 19:04:47,438,23.1,17.3
6, 04/27/22 19:09:47,433,23.1,17.1
7, 04/27/22 19:14:47,429,23.1,16.9
8, 04/27/22 19:19:47,426,23.1,16.8
9, 04/27/22 19:24:47,424,23.1,16.9
10, 04/27/22 19:29:47,424,23.2,17
11, 04/27/22 19:34:47,423,23.2,17.3
12, 04/27/22 19:39:47,421,23.1,17.5
13, 04/27/22 19:44:47,421,23.1,17.8
14, 04/27/22 19:49:47,420,23.1,18
15, 04/27/22 19:54:47,420,23,18.1
16, 04/27/22 19:59:47,420,23,18.2
17, 04/27/22 20:04:47,419,23,18.2
18, 04/27/22 20:09:47,420,22.9,18.2
19, 04/27/22 20:14:47,420,22.8,18.3
20, 04/27/22 20:19:47,421,22.7,18.4
21, 04/27/22 20:24:47,421,22.7,18.4
22, 04/27/22 20:29:47,421,22.6,18.4
23, 04/27/22 20:34:47,421,22.6,18.4
24, 04/27/22 20:39:47,421,22.6,18.4
25, 04/27/22 20:44:47,421,22.5,18.4
26, 04/27/22 20:49:47,422,22.4,18.5
27, 04/27/22 20:54:47,420,22.3,18.6
28, 04/27/22 20:59:47,420,22.2,18.6
29, 04/27/22 21:04:47,421,22.2,18.6
30, 04/27/22 21:09:47,421,22.2,18.7
31, 04/27/22 21:14:47,420,22.2,18.7
32, 04/27/22 21:19:47,420,22.1,18.8
33, 04/27/22 21:24:47,421,22.1,18.9
34, 04/27/22 21:29:47,420,22,18.9
35, 04/27/22 21:34:47,420,22.1,18.9
36, 04/27/22 21:39:47,420,22.1,18.8
37, 04/27/22 21:44:47,420,22.1,18.9
38, 04/27/22 21:49:47,420,22.1,18.8
39, 04/27/22 21:54:47,420,22.1,18.9
40, 04/27/22 21:59:47,420,22.1,18.9
41, 04/27/22 22:04:47,419,22.2,18.9
42, 04/27/22 22:09:47,419,22.2,18.8
43, 04/27/22 22:14:47,419,22.2,18.8
44, 04/27/22 22:19:47,419,22.2,18.8
45, 04/27/22 22:24:47,419,22.2,18.8
46, 04/27/22 22:29:47,418,22.2,18.9
47, 04/27/22 22:34:47,419,22.2,18.9
48, 04/27/22 22:39:47,419,22.2,18.9
49, 04/27/22 22:44:47,419,22.2,19
50, 04/27/22 22:49:47,419,22.2,19
51, 04/27/22 22:54:47,420,22.2,18.9
52, 04/27/22 22:59:47,420,22.2,19
53, 04/27/22 23:04:47,419,22.2,19
54, 04/27/22 23:09:47,420,22.2,19
55, 04/27/22 23:14:47,419,22.2,19
56, 04/27/22 23:19:47,419,22.2,19
57, 04/27/22 23:24:47,419,22.2,19
58, 04/27/22 23:29:47,419,22.1,19
59, 04/27/22 23:34:47,419,22.2,19.1
60, 04/27/22 23:39:47,419,22.2,19.1
61, 04/27/22 23:44:47,419,22.2,19.1
62, 04/27/22 23:49:47,417,22.2,19.1
63, 04/27/22 23:54:47,418,22.2,19.2
64, 04/27/22 23:59:47,418,22.2,19.2
65, 04/28/22 00:04:47,418,22.2,19.2
66, 04/28/22 00:09:47,418,22.1,19.2
67, 04/28/22 00:14:47,417,22.1,19.2
68, 04/28/22 00:19:47,418,22.2,19.2
69, 04/28/22 00:24:47,419,22.1,19.3
70, 04/28/22 00:29:47,418,22.2,19.3
71, 04/28/22 00:34:47,419,22.1,19.3
72, 04/28/22 00:39:47,419,22.1,19.3
73, 04/28/22 00:44:47,417,22.1,19.3
74, 04/28/22 00:49:47,419,22.1,19.4
75, 04/28/22 00:54:47,418,22.1,19.4
76, 04/28/22 00:59:47,417,22.1,19.4
77, 04/28/22 01:04:47,417,22.2,19.4
78, 04/28/22 01:09:47,418,22.2,19.4
79, 04/28/22 01:14:47,417,22.2,19.5
80, 04/28/22 01:19:47,418,22.1,19.5
81, 04/28/22 01:24:47,419,22.1,19.5
82, 04/28/22 01:29:47,418,22.1,19.5
83, 04/28/22 01:34:47,417,22.1,19.5
84, 04/28/22 01:39:47,416,22.1,19.6
85, 04/28/22 01:44:47,418,22.1,19.6
86, 04/28/22 01:49:47,417,22.2,19.6
87, 04/28/22 01:54:47,417,22.1,19.6
88, 04/28/22 01:59:47,418,22.1,19.6
89, 04/28/22 02:04:47,416,22.1,19.6
90, 04/28/22 02:09:47,417,22.1,19.7
91, 04/28/22 02:14:47,417,22.1,19.7
92, 04/28/22 02:19:47,418,22.1,19.6
93, 04/28/22 02:24:47,417,22.1,19.7
94, 04/28/22 02:29:47,417,22.1,19.7
95, 04/28/22 02:34:47,415,22.1,19.8
96, 04/28/22 02:39:47,416,22.1,19.8
97, 04/28/22 02:44:47,416,22.1,19.8
98, 04/28/22 02:49:47,417,22.1,19.8
99, 04/28/22 02:54:47,417,22.1,19.8
100, 04/28/22 02:59:47,417,22.1,19.8
101, 04/28/22 03:04:47,417,22.1,19.8
102, 04/28/22 03:09:47,417,22.1,19.8
